gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1920847689	StillImage	image/jpeg	https://static.inaturalist.org/photos/2352476/original.jpg?1444553655	https://www.flickr.com/photos/sudachi/21203199432/			2015-08-28T21:41:13Z	Zack		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Zack
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383857/original.jpeg?1539153647	https://www.inaturalist.org/photos/26383857			2013-04-16T22:47:05Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383858/original.jpeg?1539153647	https://www.inaturalist.org/photos/26383858			2013-04-16T22:47:15Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383859/original.jpeg?1539153649	https://www.inaturalist.org/photos/26383859			2013-04-16T22:47:37Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383864/original.jpeg?1539153661	https://www.inaturalist.org/photos/26383864			2013-04-16T22:47:11Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383870/original.jpeg?1539153677	https://www.inaturalist.org/photos/26383870			2013-04-16T22:48:27Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383874/original.jpeg?1539153681	https://www.inaturalist.org/photos/26383874			2013-04-16T22:48:19Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383878/original.jpeg?1539153688	https://www.inaturalist.org/photos/26383878			2013-04-16T22:48:15Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383879/original.jpeg?1539153692	https://www.inaturalist.org/photos/26383879			2013-04-16T22:48:21Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383881/original.jpeg?1539153700	https://www.inaturalist.org/photos/26383881			2013-04-16T22:48:07Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383883/original.jpeg?1539153703	https://www.inaturalist.org/photos/26383883			2013-04-16T22:48:08Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383884/original.jpeg?1539153703	https://www.inaturalist.org/photos/26383884			2013-04-16T22:48:05Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833659	StillImage	image/jpeg	https://static.inaturalist.org/photos/26383887/original.jpeg?1539153709	https://www.inaturalist.org/photos/26383887			2013-04-16T22:48:02Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833271	StillImage	image/jpeg	https://static.inaturalist.org/photos/26381913/original.jpeg?1539148187	https://www.inaturalist.org/photos/26381913			2013-04-15T17:20:04Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920833244	StillImage	image/jpeg	https://static.inaturalist.org/photos/26381567/original.jpeg?1539147426	https://www.inaturalist.org/photos/26381567			2013-04-15T01:43:45Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920831660	StillImage	image/jpeg	https://static.inaturalist.org/photos/26372573/original.jpeg?1539132682	https://www.inaturalist.org/photos/26372573			2013-04-13T16:36:08Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828382	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343226/original.jpeg?1539097225	https://www.inaturalist.org/photos/26343226			2010-07-23T07:59:11Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828382	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343242/original.jpeg?1539097242	https://www.inaturalist.org/photos/26343242			2010-07-23T07:59:16Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828382	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343249/original.jpeg?1539097244	https://www.inaturalist.org/photos/26343249			2010-07-23T07:59:30Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828347	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343206/original.jpg?1539097206	https://www.inaturalist.org/photos/26343206			2013-05-07T07:58:17Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828347	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343219/original.jpeg?1539097219	https://www.inaturalist.org/photos/26343219			2010-07-23T07:58:34Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828347	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343227/original.jpeg?1539097224	https://www.inaturalist.org/photos/26343227			2010-07-23T07:58:17Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828347	StillImage	image/jpeg	https://static.inaturalist.org/photos/26343231/original.jpg?1539097233	https://www.inaturalist.org/photos/26343231			2010-07-23T07:58:17Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828256	StillImage	image/jpeg	https://static.inaturalist.org/photos/26342006/original.jpeg?1539095766	https://www.inaturalist.org/photos/26342006			2010-07-23T10:11:28Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828256	StillImage	image/jpeg	https://static.inaturalist.org/photos/26342011/original.jpeg?1539095772	https://www.inaturalist.org/photos/26342011			2010-07-23T10:11:24Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828256	StillImage	image/jpeg	https://static.inaturalist.org/photos/26342014/original.jpeg?1539095775	https://www.inaturalist.org/photos/26342014			2010-07-23T10:13:06Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
1920828256	StillImage	image/jpeg	https://static.inaturalist.org/photos/26342016/original.jpeg?1539095776	https://www.inaturalist.org/photos/26342016			2010-07-23T10:11:08Z	Tony Strazzari		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Tony Strazzari
